"infection","Mouse_ID","end_rel_weight","experiment","primary_infection","challenge_infection","mouse_strain","labels","weight","weight_dpi0","relative_weight","Feces_Weight","dpi","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution","OO4sq","OOC","infection_history","MC.Eimeria","delta_ct_cewe_MminusE","IFNy_CEWE","IFNy_MES","IRG6","IL.12","IL.12A","PPIB","IL.17A","GAPDH","Position","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8","OPG_O","IFNy_FEC","Caecum","Treg_prop","IL17A_CD4","batch","hybrid_status","Parasite_primary","Parasite_challenge","dpi_max","WL_max","origin","Sex","Longitude","Latitude","Year","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","HI_NLoci","HI","Dissection_Date","Spleen","Trichuris_muris","Zfy2","Y","Mastophorus_muris","Catenotaenia_pusilla","Address","Status","Left_Embryo","Right_Embryo","Worms_presence","Heligmosomoides_polygurus","Heterakis_sp","counter","Date_count","N_oocysts_sq1","N_oocysts_sq2","N_oocysts_sq3","N_oocysts_sq4","N_oocysts_sq5","N_oocysts_sq6","N_oocysts_sq7","N_oocysts_sq8","mean_neubauer","PBS_dil_in_mL","OPG","Ncells","Region","Body_Weight","Body_Length","Ectoparasites_Logical","Left_Epididymis","Fleas","Liver","Right_Ovarium_Weight","Left_Ovarium_Weight","Seminal_Vesicles_Weight","Left_Testis","Right_Testis","Tail_Length","Trap_Date","eimeriaSpecies","Ct.Eimeria","Ct.Mus","Oocyst_Predict_Crypto","ILWE_Crypto_Ct","ILWE_DNA_Content_ng.microliter","Ticks","Host","Aspiculuris_sp","Syphacia_sp","Taenia_sp","Hymenolepis_sp","Sperm","FEC_Eim_Ct","MC.Eimeria.FEC","MCs","IFNy","CXCR3","IL.6","IL.13","IL1RN","CASP1","CXCL9","IDO1","IRGM1","MPO","MUC2","MUC5AC","MYD88","NCR1","PRF1","RETNLB","SOCS1","TICAM1","TNF"
"challenge","LM0227",99.7904442581727,"E57","E88","E64","BUSNA_STRA","E57bxLNW",22.94,23.86,96.1441743503772,0.88,6,6,7,10,7,1,30,75000,"falciformis_ferrisi",TRUE,-5.79,54.4201292769137,NA,-4.425,-9.13,22.0540301010045,13.8372505612264,NA,NA,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F1 hybrid","E_falciformis","E_ferrisi",8,-4.1072925398156,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,0.68,1.17,NA,0.48,1.06,7.67,1.96,0.16,0.23,0.11,0.35,0.31,0.91,0.13,0.27,0.13,0.44,0.67
"challenge","LM0228",110.692416391898,"E57","E88","E64","STRA_BUSNA","E57bxFHT",23.4,21.23,110.221384832784,1.28,1,0,0,0,0,1,0,0,"falciformis_ferrisi",TRUE,-5.91,84.9852124920339,NA,-4.3925,-6.9325,NA,13.660586988559,27.3172963737582,NA,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F1 hybrid","E_falciformis","E_ferrisi",8,0,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,0.37,0.05,NA,0.03,0.2,3.57,4.38,0.43,0.02,0.3,0.07,0.12,1.09,0.29,2.72,0.78,1.73,0.23
"challenge","LM0229",99.7376705141658,"E57","E88","UNI","SCHUNT_SCHUNT","E57bxCNT",19.88,19.06,104.302203567681,3.34,5,0,0,0,0,1,0,0,"falciformis_uninfected",FALSE,-7.12,11.9382981889895,NA,-3.1225,-4.6475,27.7955876695484,14.4941092225394,22.7615767953648,NA,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F0 M. m. domesticus","E_falciformis","uninfected",8,-3.5676810073452,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.22,NA,0.23,1.16,0.29,0.66,3.57,NA,2.13,0.38,0.05,0.92,NA,1.93,2.96,1.12,0.3
"challenge","LM0231",98.7433542774287,"E57","E88","E64","PWD_SCHUNT","E57bxCOV",20.95,20.69,101.256645722571,1.53,5,144,134,117,108,1,503,1257500,"falciformis_ferrisi",TRUE,-5.16,37.5056012557841,NA,-4.3125,-6.8575,24.9166729862101,10.9071136772582,23.5927714855823,NA,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F1 hybrid","E_falciformis","E_ferrisi",8,-1.25664572257131,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.15,0.02,NA,0.05,0,0.74,0.48,0.06,0,0.26,0.01,0.09,0.11,0.35,6.18,0.09,1.18,0.36
"challenge","LM0232",102.313234736443,"E57","E88","UNI","BUSNA_STRA","E57bxDIW",26.37,26.37,100,1.1,0,0,0,0,0,1,0,0,"falciformis_uninfected",TRUE,-6.22,21.8877741271661,NA,-3.01,-5.435,21.283178829474,13.6344535336585,27.6643462053201,NA,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F1 hybrid","E_falciformis","uninfected",8,0,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.24,NA,0.07,0.09,0.14,0.07,0.73,NA,0.27,0.07,0.17,0.46,0.16,1.48,0.63,2.63,0.04
"challenge","LM0233",100.638226402419,"E57","E88","UNI","STRA_STRA","E57bxERY",30.71,29.77,103.157541148808,1.66,3,0,0,0,0,1,0,0,"falciformis_uninfected",TRUE,-5.97,81.662990584743,NA,NA,-6.1225,24.6130038932218,14.4037280578944,28.888649522421,NA,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F0 M. m. domesticus","E_falciformis","uninfected",8,-0.0671817265703964,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,0.21,0.61,NA,0.09,0.72,0.26,0.1,1.28,0.1,1.44,0.88,0.05,0.31,0.16,0.02,1.56,1.2,0.06
"challenge","LM0234",99.6336996336996,"E57","E88","E64","STRA_STRA","E57bxAGX",32.61,32.76,99.5421245421245,1.35,6,90,111,114,108,1,423,1057500,"falciformis_ferrisi",TRUE,-7.89,112.055644071278,NA,-1.0425,-4.8275,22.2915427746276,14.5446123596065,NA,NA,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F0 M. m. domesticus","E_falciformis","E_ferrisi",8,-2.1062271062271,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94,1.85,0.27,NA,0.18,0.82,5.94,1.91,2.14,0.11,1.12,0.78,0.2,1.57,3.49,0.3,1.61,2.73,1.66
"challenge","LM0235",99.6424923391216,"E57","E88","E64","STRA_SCHUNT","E57bxFJS",19.58,19.58,100,0.99,0,0,0,0,0,1,0,0,"falciformis_ferrisi",TRUE,-5.84,53.5403908319353,NA,-3.0275,-5.5975,23.8706904773282,14.1094199540657,26.9021283600333,NA,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F1 M. m. domesticus","E_falciformis","E_ferrisi",8,-2.29826353421861,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,0.12,1.36,NA,0.24,0.16,6.04,0.6,1.95,0.05,1.91,0.24,0.08,0.85,0.12,0.49,1.15,1.89,0.43
"challenge","LM0236",103.047619047619,"E57","E88","E64","STRA_STRA","E57bxNRU",28.03,26.25,106.780952380952,1.42,7,54,61,71,55,1,241,602500,"falciformis_ferrisi",TRUE,-6.02,121.105391312534,NA,-2.0425,-5.0925,24.3751229157779,16.4419766101856,29.393211548114,NA,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F0 M. m. domesticus","E_falciformis","E_ferrisi",8,-11.047619047619,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,3.73,NA,0.39,4.8,7.69,4.96,6.05,0.02,6.19,27.02,0.16,3.97,NA,1.25,7.4,2.28,0.13
"challenge","LM0238",95.4184198223469,"E57","E88","E64","PWD_BUSNA","E57bxEWY",20.47,21.39,95.6989247311828,0.47,6,2,2,4,2,1,10,25000,"falciformis_ferrisi",TRUE,-4.42,61.4115394386923,NA,-4.3375,-6.3925,22.4657442876761,9.4143498510904,23.5008702072269,NA,"mLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F1 M. m. musculus","E_falciformis","E_ferrisi",8,-6.0776063581113,"Lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.1,0.15,NA,0.01,0.02,0.59,0.37,0.04,0,0.03,0.07,0.07,0.16,0.85,1.97,0.02,0.53,0.22
