"EH_ID","primary_infection","challenge_infection","Parasite_challenge","infection_history","mouse_strain","max_WL","delta","hybrid_status","IFNy","CXCR3_bio","IL.6","IL.10","IL.13","IL1RN","CASP1","CXCL9","IDO1","IRGM1","MPO","MUC2","MUC5AC","MYD88","NCR1","PRF1","RETNLB","SOCS1","TICAM1","TNF"
"LM0227","E88","E64","E_ferrisi","falciformis_ferrisi","BUSNA_STRA",95.8927074601844,-5.79,"F1 hybrid",19.69138,20.92666,21.09045,21.78837,NA,16.42338,22.0292,13.60226,13.685507,11.625516,23.16109,11.394231,12.368312,16.856985,23.33234,27.5329,11.389996,13.025961,19.82281,21.01065
"LM0228","E88","E64","E_ferrisi","falciformis_ferrisi","STRA_BUSNA",100,-5.91,"F1 hybrid",20.85947,21.62075,25.326,22.92255,NA,20.1351,24.25054,14.53048,12.347823,10.033986,26.67972,9.724516,14.599135,18.010443,22.89312,26.26383,7.85713,10.292493,17.66099,22.36282
"LM0229","E88","UNI","uninfected","falciformis_uninfected","SCHUNT_SCHUNT",96.4323189926548,-7.12,"F0 M. m. domesticus",NA,23.66537,24.18021,24.90025,NA,18.14916,22.55511,18.99093,15.90241,7.810604,NA,7.749293,12.87121,20.059938,23.96486,NA,9.184355,9.205008,19.11736,22.81213
"LM0231","E88","E64","E_ferrisi","falciformis_ferrisi","PWD_SCHUNT",98.7433542774287,-5.16,"F1 hybrid",21.19368,20.21312,23.90781,22.31029,NA,16.79377,27.50341,14.03929,12.783337,10.157602,27.67628,7.183272,14.041496,15.618948,23.45405,23.24062,3.920192,10.692568,15.46167,18.96024
"LM0232","E88","UNI","uninfected","falciformis_uninfected","BUSNA_STRA",100,-6.22,"F1 hybrid",NA,23.02829,23.19571,27.67319,NA,18.98532,25.45624,19.20542,18.254268,9.241544,NA,9.86959,14.37152,17.538455,24.12714,27.09015,8.711133,10.586118,17.03506,24.77639
"LM0233","E88","UNI","uninfected","falciformis_uninfected","STRA_STRA",99.9328182734296,-5.97,"F0 M. m. domesticus",23.25197,23.18574,22.59572,25.82543,NA,19.45825,23.14097,19.07817,18.48888,9.197374,24.94612,8.225922,11.583533,20.053889,25.43377,27.84301,15.803676,10.037031,18.92915,25.01909
"LM0234","E88","E64","E_ferrisi","falciformis_ferrisi","STRA_STRA",97.8937728937729,-7.89,"F0 M. m. domesticus",20.64367,20.19632,23.9145,21.62915,NA,18.55582,23.11127,14.67773,14.430931,8.600942,24.90775,8.73069,11.900492,18.177256,23.25482,23.54348,11.930951,10.137282,17.89026,20.40686
"LM0235","E88","E64","E_ferrisi","falciformis_ferrisi","STRA_SCHUNT",97.7017364657814,-5.84,"F1 M. m. domesticus",22.30059,23.73105,21.14346,23.61026,NA,17.67666,25.06357,14.21946,15.666291,8.297135,25.61896,7.522414,13.148207,19.03818,23.69673,28.00436,10.795116,10.187464,17.98634,21.9151
"LM0236","E88","E64","E_ferrisi","falciformis_ferrisi","STRA_STRA",88.952380952381,-6.02,"F0 M. m. domesticus",NA,23.18462,22.02135,NA,NA,19.31653,22.45011,16.20309,14.952342,8.99736,29.21133,8.156661,8.684992,20.392755,23.81112,NA,11.763447,9.833251,20.04689,25.99834
"LM0238","E88","E64","E_ferrisi","falciformis_ferrisi","PWD_BUSNA",93.9223936418887,-4.42,"F1 M. m. musculus",20.71101,19.21698,19.62519,22.94861,NA,17.29027,23.55407,12.88829,11.663551,9.05216,27.46451,8.642571,10.342714,14.618691,21.39968,20.45141,4.079604,11.24217,15.1265,18.21831
"LM0239","E88","UNI","uninfected","falciformis_uninfected","SCHUNT_SCHUNT",95.1571354971664,-6.76,"F0 M. m. domesticus",NA,22.52077,NA,23.85751,NA,20.58918,23.81598,20.30617,16.930006,8.162201,25.54124,8.859693,15.4605,19.281729,23.6606,NA,12.512554,8.390115,17.00279,24.39284
"LM0240","E88","E64","E_ferrisi","falciformis_ferrisi","SCHUNT_PWD",100,-6.65,"F1 hybrid",19.03305,19.12177,25.26331,20.62422,NA,17.38254,22.70095,13.01806,10.705361,7.565302,24.91439,6.904949,15.35987,14.612337,20.06957,21.01384,3.598778,8.892853,14.34632,18.18376
"LM0247","E88","UNI","uninfected","falciformis_uninfected","STRA_SCHUNT",95.5768521931441,-4.68,"F1 M. m. domesticus",NA,22.45032,22.69335,NA,NA,17.74972,22.49518,17.39209,15.675249,9.841508,25.19862,7.871219,8.678551,16.285136,24.3767,25.10224,11.645965,10.674034,15.6494,20.93638
"LM0249","E88","E64","E_ferrisi","falciformis_ferrisi","SCHUNT_STRA",91.0727969348659,-5.96,"F1 M. m. domesticus",20.31647,22.51152,20.95665,23.01596,NA,16.69397,22.84267,15.54217,13.07909,10.548003,23.12428,9.808142,10.449504,16.981842,23.76296,27.17679,12.534258,11.718299,17.56715,20.51972
"LM0251","E88","UNI","uninfected","falciformis_uninfected","STRA_BUSNA",94.300518134715,-4.73,"F1 hybrid",NA,21.26747,21.85538,NA,NA,19.67336,22.04784,19.29231,18.558979,9.218357,28.14862,8.669347,10.19848,16.960683,23.89841,24.64252,11.212956,10.034478,16.84957,22.49043
"LM0254","E88","UNI","uninfected","falciformis_uninfected","SCHUNT_PWD",94.2652329749104,-8.48,"F1 hybrid",24.08206,18.00746,18.38914,18.74826,NA,15.10803,23.38067,17.12064,15.731242,9.193427,23.38627,8.394537,10.196126,14.609839,18.00615,22.71284,6.937463,10.044808,15.08446,17.05868
"LM0255","E88","E64","E_ferrisi","falciformis_ferrisi","BUSNA_BUSNA",93.0449069003286,-2.73,"F0 M. m. musculus",18.96116,19.10121,20.98553,22.42743,NA,16.4427,23.42149,13.68531,12.914861,9.322633,21.87048,8.714876,12.295662,15.888646,21.33841,26.209,5.973854,10.589004,17.65482,19.35511
"LM0256","E88","UNI","uninfected","falciformis_uninfected","STRA_STRA",100,-8.9,"F0 M. m. domesticus",NA,22.41295,20.25383,23.03015,NA,17.63167,22.85872,18.63569,19.069602,9.447187,27.9215,8.040773,9.12195,17.378285,29.4934,25.66098,14.362461,10.790189,18.71333,23.10196
"LM0257","E88","E64","E_ferrisi","falciformis_ferrisi","SCHUNT_SCHUNT",89.8461538461539,-6.93,"F0 M. m. domesticus",29.97387,21.44775,18.4502,27.89777,NA,17.32784,23.05298,12.95849,14.508282,9.59851,27.07087,7.807939,10.415893,15.854892,23.12706,NA,5.662282,10.323638,15.91257,19.63243
"LM0258","E64","E64","E_ferrisi","ferrisi_ferrisi","BUSNA_PWD",91.8946301925025,-5.75,"F1 M. m. musculus",20.09308,21.0713,20.03526,21.08242,NA,17.43922,22.51961,14.61636,13.13892,8.335187,24.66545,7.790361,9.038129,16.616529,22.28476,23.09671,6.708141,9.097796,16.83769,19.32845
"LM0260","E64","E64","E_ferrisi","ferrisi_ferrisi","SCHUNT_SCHUNT",89.5933838731909,-11.9,"F0 M. m. domesticus",21.79559,20.92691,21.09167,24.07971,NA,17.14403,22.76425,16.18053,13.64665,9.565223,25.42206,8.771323,9.468288,15.065539,24.36829,25.16968,8.373846,10.727382,15.39051,19.76802
